product_id,product_name,product_category,subcategory,brand_name,price,available_stock,rating,is_active,launch_date,discount_eligible,avg_shipping_cost,product_weight_kg
P1000,Fruit Juice,groceries,snacks,Verve,34.42,545,2.5,yes,2024-06-08,yes,18.86,1.6
P1001,Formal Shoes,fashion,women_dresses,Zenith,115.74,946,1.73,no,2024-06-07,no,23.94,0.95
P1002,Cotton Shirt,fashion,footwear,GlowCo,43.82,265,1.22,yes,2023-10-17,yes,4.47,0.66
P1003,Decorative Vase,home_decor,lighting,UrbanEdge,97.42,398,1.03,yes,2024-02-01,yes,16.88,1.55
P1004,Face Serum,beauty,skincare,Verve,20.16,356,1.57,yes,2024-06-13,yes,7.85,0.43
P1005,Storage Rack,home_decor,furniture,PlaySphere,55.05,83,3.36,yes,2025-01-27,no,16.44,2.68
P1006,Moisturizer,beauty,makeup,Optima,76.14,997,1.19,yes,2024-12-09,yes,20.76,0.7
P1007,Hair Oil,beauty,skincare,PixelHaus,49.04,832,1.66,yes,2023-05-30,yes,7.92,0.85
P1008,Lipstick Set,beauty,skincare,Nova,28.02,776,4.88,yes,2024-06-15,yes,7.92,0.59
P1009,Organic Oats,groceries,household,Zenith,8.83,799,1.6,no,2024-02-13,no,14.1,2.81
P1010,Smartphone,electronics,audio,Acme,218.12,998,2.06,yes,2023-04-09,yes,2.47,1.51
P1011,Decorative Vase,home_decor,storage,Optima,81.13,341,2.84,yes,2024-07-21,yes,22.93,3.03
P1012,Denim Jeans,fashion,men_shirts,UrbanEdge,35.91,857,4.66,no,2024-10-24,yes,24.88,0.51
P1013,LED Desk Lamp,home_decor,lighting,Optima,39.7,255,3.64,yes,2023-02-09,no,24.49,4.08
P1014,Lipstick Set,beauty,haircare,Acme,64.3,10,4.43,yes,2023-07-16,yes,1.63,0.86
P1015,Dish Soap,groceries,snacks,Nova,43.08,39,2.71,yes,2023-05-27,no,1.19,2.7
P1016,Bluetooth Earbuds,electronics,mobile,Nova,175.83,971,4.91,yes,2023-12-19,no,24.6,1.11
P1017,Moisturizer,beauty,skincare,Natura,45.89,74,2.63,yes,2024-12-11,yes,20.29,0.82
P1018,Formal Shoes,fashion,footwear,Acme,124.31,601,4.84,yes,2023-06-22,no,14.96,0.82
P1019,Portable Speaker,electronics,mobile,Zenith,322.52,290,1.98,yes,2023-07-06,yes,13.0,2.84
P1020,Hair Oil,beauty,makeup,Nova,77.55,293,1.1,yes,2024-04-04,yes,0.33,0.61
P1021,Stuffed Animal,toys,puzzles,Nova,67.75,41,4.8,yes,2023-07-16,no,9.09,1.83
P1022,Shampoo Pack,beauty,makeup,Zenith,43.09,191,4.71,yes,2024-06-24,no,23.96,0.6
P1023,Cotton Shirt,fashion,footwear,Nova,124.6,747,3.14,yes,2024-04-21,yes,3.18,0.95
P1024,Denim Jeans,fashion,women_dresses,Nova,130.55,266,1.68,yes,2024-12-04,no,6.49,0.21
P1025,Hair Oil,beauty,haircare,Natura,49.65,49,3.31,yes,2024-11-08,yes,8.3,0.88
P1026,Wooden Bookshelf,home_decor,furniture,Optima,74.02,506,3.05,yes,2023-05-09,yes,11.58,1.33
P1027,Moisturizer,beauty,skincare,UrbanEdge,40.06,330,4.88,yes,2025-02-23,no,23.53,0.32
P1028,Hair Oil,beauty,makeup,UrbanEdge,44.47,53,2.19,yes,2023-10-11,yes,5.18,0.57
P1029,Instant Coffee,groceries,household,PlaySphere,37.5,185,4.04,no,2024-09-09,no,22.18,2.4
P1030,Wall Art Frame,home_decor,furniture,PixelHaus,178.68,116,1.97,no,2023-10-30,no,4.11,2.8
P1031,Instant Coffee,groceries,snacks,Verve,43.03,758,2.99,yes,2023-08-09,yes,5.64,2.07
P1032,Instant Coffee,groceries,beverages,Acme,10.3,177,2.95,yes,2023-12-11,no,9.55,2.32
P1033,Instant Coffee,groceries,snacks,Nova,28.06,786,2.03,no,2023-01-26,no,13.59,1.43
P1034,Leather Jacket,fashion,men_shirts,Optima,127.95,418,2.97,yes,2023-11-05,no,20.05,0.3
P1035,Lego Set,toys,action_figures,Verve,62.94,765,1.55,yes,2024-07-03,no,19.36,1.17
P1036,Wooden Bookshelf,home_decor,storage,Nova,72.41,159,1.77,no,2023-08-24,yes,15.15,4.49
P1037,Instant Coffee,groceries,beverages,Natura,21.51,936,2.66,yes,2023-03-15,yes,11.72,0.91
P1038,Decorative Vase,home_decor,storage,PlaySphere,55.7,876,4.06,yes,2024-07-17,no,23.35,1.1
P1039,Noise Cancelling Headphones,electronics,mobile,Acme,154.88,774,2.14,yes,2023-12-24,no,24.8,1.84
P1040,Cotton Shirt,fashion,footwear,Acme,87.28,81,4.98,yes,2023-09-17,yes,16.45,0.54
P1041,Wireless Mouse,electronics,laptop,Natura,291.85,624,1.31,yes,2024-08-04,no,14.03,0.95
P1042,Organic Oats,groceries,beverages,Acme,22.95,604,2.23,yes,2023-09-04,no,19.25,1.9
